Title,Link,Year,Rating_Classification,Total_Ratings,Critic_Score,Audience_Score,Genre,Director,Runtime
The Handmaiden,https://www.rottentomatoes.com/m/the_handmaiden,2016,Not Rated,10000,96,91,Mystery & Thriller,Park Chan-wook,144
La Haine,https://www.rottentomatoes.com/m/la_haine,1995,Not Rated,25000,96,95,Drama,Mathieu Kassovitz,98
La Strada,https://www.rottentomatoes.com/m/la_strada,1956,Not Rated,10000,98,93,Drama,Federico Fellini,115
Rashomon,https://www.rottentomatoes.com/m/rashomon,1950,Not Rated,25000,98,93,Drama,Akira Kurosawa,88
Top Hat,https://www.rottentomatoes.com/m/top_hat,1935,Not Rated,5000,100,90,Musical,Mark Sandrich,99
The Artist,https://www.rottentomatoes.com/m/the_artist,2011,PG-13,50000,95,87,Romance,Michel Hazanavicius,100
The Conformist,https://www.rottentomatoes.com/m/the_conformist,1970,R,5000,98,90,Drama,Bernardo Bertolucci,111
One Flew Over the Cuckoo's Nest,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest,1975,R,250000,93,96,Drama,Milos Forman,133
In the Heat of the Night,https://www.rottentomatoes.com/m/in_the_heat_of_the_night,1967,Not Rated,10000,95,92,Crime,Norman Jewison,109
Raiders of the Lost Ark,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark,1981,PG,250000,93,96,Adventure,Steven Spielberg,115
The Peanut Butter Falcon,https://www.rottentomatoes.com/m/the_peanut_butter_falcon,2019,PG-13,2500,95,96,Comedy,Tyler Nilson,96
Paths of Glory,https://www.rottentomatoes.com/m/paths_of_glory,1957,Not Rated,25000,96,95,War,Stanley Kubrick,86
King Kong,https://www.rottentomatoes.com/m/1011615-king_kong,1933,Not Rated,50000,97,86,Adventure,Merian C. Cooper,100
Children of Paradise,https://www.rottentomatoes.com/m/children_of_paradise,1945,Not Rated,5000,98,95,Romance,Marcel Carné,195
A Beautiful Day in the Neighborhood,https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood,2019,PG,10000,95,92,Biography,Marielle Heller,107
The LEGO Movie,https://www.rottentomatoes.com/m/the_lego_movie,2014,PG,100000,96,87,Kids & Family,Phil Lord,95
Before Sunset,https://www.rottentomatoes.com/m/before_sunset,2004,R,50000,94,91,Romance,Richard Linklater,80
Soul,https://www.rottentomatoes.com/m/soul,2024,PG,5000,95,88,Kids & Family,Pete Docter,100
Creed,https://www.rottentomatoes.com/m/creed_2015,2015,PG-13,50000,95,89,Drama,Ryan Coogler,133
John Wick: Chapter 4,https://www.rottentomatoes.com/m/john_wick_chapter_4,2023,R,5000,94,93,Action,Chad Stahelski,169
The Princess Bride,https://www.rottentomatoes.com/m/princess_bride,1987,PG,250000,96,94,Kids & Family,Rob Reiner,98
Sunrise,https://www.rottentomatoes.com/m/sunrise,1927,Not Rated,5000,98,92,Drama,F.W. Murnau,110
Before Midnight,https://www.rottentomatoes.com/m/before_midnight_2013,2013,R,25000,98,82,Romance,Richard Linklater,109
Lawrence of Arabia,https://www.rottentomatoes.com/m/lawrence_of_arabia,1962,PG,50000,93,93,Biography,David Lean,222
Strangers on a Train,https://www.rottentomatoes.com/m/strangers_on_a_train,1951,PG,25000,98,92,Mystery & Thriller,Alfred Hitchcock,101
Sling Blade,https://www.rottentomatoes.com/m/sling_blade,1996,R,50000,97,92,Drama,Billy Bob Thornton,136
Kubo and the Two Strings,https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016,2016,PG,25000,97,86,Kids & Family,Travis Knight,102
Sweet Smell of Success,https://www.rottentomatoes.com/m/sweet_smell_of_success,1957,Not Rated,5000,98,91,Drama,Alexander Mackendrick,96
The Thin Man,https://www.rottentomatoes.com/m/thin_man,1934,Not Rated,10000,98,93,Comedy,W. S. Van Dyke II,93
Once Upon a Time in the West,https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west,1969,PG-13,50000,96,94,Western,Sergio Leone,165
Eternal Sunshine of the Spotless Mind,https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind,2004,R,250000,92,94,Romance,Michel Gondry,108
Sense and Sensibility,https://www.rottentomatoes.com/m/1068832-sense_and_sensibility,1995,PG,100000,97,90,Comedy,Ang Lee,135
BlacKkKlansman,https://www.rottentomatoes.com/m/blackkklansman,2018,R,10000,96,83,Comedy,Spike Lee,134
Lost in Translation,https://www.rottentomatoes.com/m/lost_in_translation,2003,R,250000,95,85,Comedy,Sofia Coppola,102
Au Hasard Balthazar,https://www.rottentomatoes.com/m/au_hasard_balthazar,1970,Not Rated,5000,100,86,Drama,Robert Bresson,90
Boyhood,https://www.rottentomatoes.com/m/boyhood,2014,R,50000,97,80,Drama,Richard Linklater,165
The Grapes of Wrath,https://www.rottentomatoes.com/m/grapes_of_wrath,1940,Not Rated,10000,100,88,Drama,John Ford,129
Sing Street,https://www.rottentomatoes.com/m/sing_street,2016,PG-13,10000,95,92,Comedy,John Carney,106
A Fistful of Dollars,https://www.rottentomatoes.com/m/fistful_of_dollars,1964,R,50000,98,91,Western,Sergio Leone,96
The Truman Show,https://www.rottentomatoes.com/m/truman_show,1998,PG,250000,94,89,Comedy,Peter Weir,102
Life of Brian,https://www.rottentomatoes.com/m/monty_pythons_life_of_brian,1979,R,250000,96,93,Comedy,Terry Jones,93
8 1/2,https://www.rottentomatoes.com/m/8-12,1963,Not Rated,25000,97,92,Fantasy,Federico Fellini,135
Marriage Story,https://www.rottentomatoes.com/m/marriage_story_2019,2019,R,100,95,85,Drama,Noah Baumbach,136
Searching for Bobby Fischer,https://www.rottentomatoes.com/m/searching_for_bobby_fischer,1993,PG,10000,100,86,Biography,Steven Zaillian,110
Battleship Potemkin,https://www.rottentomatoes.com/m/battleship_potemkin,1926,Not Rated,10000,100,86,History,Sergei M. Eisenstein,67
Sullivan's Travels,https://www.rottentomatoes.com/m/sullivans_travels,1942,Not Rated,5000,100,89,Comedy,Preston Sturges,91
The Red Circle,https://www.rottentomatoes.com/m/le_cercle_rouge,1970,Not Rated,5000,96,92,Crime,Jean-Pierre Melville,145
The Lost Weekend,https://www.rottentomatoes.com/m/lost_weekend,1945,Not Rated,5000,97,89,Drama,Billy Wilder,101
Tim Burton's The Nightmare Before Christmas,https://www.rottentomatoes.com/m/the_nightmare_before_christmas,1993,PG,250000,95,92,Kids & Family,Henry Selick,75
Oppenheimer,https://www.rottentomatoes.com/m/oppenheimer_2023,2023,R,10000,93,91,Biography,Christopher Nolan,180
The Discreet Charm of the Bourgeoisie,https://www.rottentomatoes.com/m/the_discreet_charm_of_the_bourgeoisie,1972,PG,10000,98,88,Comedy,Luis Buñuel,100
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,2001,PG-13,250000,92,95,Fantasy,Peter Jackson,178
Ford v Ferrari,https://www.rottentomatoes.com/m/ford_v_ferrari,2019,PG-13,10000,92,98,History,James Mangold,152
My Left Foot,https://www.rottentomatoes.com/m/my_left_foot,1989,R,25000,98,92,Biography,Jim Sheridan,103
Room,https://www.rottentomatoes.com/m/room_2015,2016,R,50000,93,93,Drama,Lenny Abrahamson,118
The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,2003,PG-13,250000,94,86,Fantasy,Peter Jackson,250
A Night at the Opera,https://www.rottentomatoes.com/m/1015002-night_at_the_opera,1935,Not Rated,10000,97,90,Comedy,Sam Wood,93
Halloween,https://www.rottentomatoes.com/m/1009113-halloween,1978,R,250000,97,89,Holiday,John Carpenter,91
Air,https://www.rottentomatoes.com/m/air_2023,2023,R,2500,93,98,Drama,Ben Affleck,112
The Sweet Hereafter,https://www.rottentomatoes.com/m/sweet_hereafter,1997,R,10000,98,86,Drama,Atom Egoyan,110
Playtime,https://www.rottentomatoes.com/m/playtime,1973,Not Rated,5000,98,89,Comedy,Jacques Tati,93
True Grit,https://www.rottentomatoes.com/m/true_grit_2010,2010,PG-13,100000,95,85,Western,Joel Coen,110
A Quiet Place,https://www.rottentomatoes.com/m/a_quiet_place_2018,2018,PG-13,25000,96,83,Horror,John Krasinski,90
Mudbound,https://www.rottentomatoes.com/m/mudbound,2017,R,5000,97,85,History,Dee Rees,134
Boyz N the Hood,https://www.rottentomatoes.com/m/boyz_n_the_hood,1991,R,100000,96,93,Drama,John Singleton,112
Brazil,https://www.rottentomatoes.com/m/1003033-brazil,1985,R,100000,98,90,Comedy,Terry Gilliam,142
Hidden Figures,https://www.rottentomatoes.com/m/hidden_figures,2017,PG,50000,93,93,History,Theodore Melfi,127
Grand Illusion,https://www.rottentomatoes.com/m/la_grande_illusion,1937,Not Rated,10000,97,92,Drama,Jean Renoir,117
The Conversation,https://www.rottentomatoes.com/m/the_conversation,1974,PG,25000,93,89,Mystery & Thriller,Francis Ford Coppola,113
Fargo,https://www.rottentomatoes.com/m/fargo,1996,R,100000,95,92,Comedy,Joel Coen,97
Diabolique,https://www.rottentomatoes.com/m/1032980-diabolique,1955,Not Rated,10000,95,93,Mystery & Thriller,Henri-Georges Clouzot,116
The Apartment,https://www.rottentomatoes.com/m/1001115-apartment,1960,Not Rated,25000,93,94,Comedy,Billy Wilder,125
Apollo 13,https://www.rottentomatoes.com/m/apollo_13,1995,PG,250000,96,87,History,Ron Howard,140
Princess Mononoke,https://www.rottentomatoes.com/m/princess_mononoke,1997,PG-13,100000,93,94,Adventure,Hayao Miyazaki,133
Umberto D,https://www.rottentomatoes.com/m/umberto_d,1952,Not Rated,5000,98,93,Drama,Vittorio De Sica,91
Black Panther,https://www.rottentomatoes.com/m/black_panther_2018,2018,PG-13,50000,96,79,Action,Ryan Coogler,134
Bringing Up Baby,https://www.rottentomatoes.com/m/bringing_up_baby,1938,Not Rated,25000,97,89,Comedy,Howard Hawks,102
The Sting,https://www.rottentomatoes.com/m/1020130-sting,1973,PG,50000,93,95,Comedy,George Roy Hill,129
Logan,https://www.rottentomatoes.com/m/logan_2017,2017,R,50000,93,91,Action,James Mangold,137
Nightcrawler,https://www.rottentomatoes.com/m/nightcrawler,2014,R,50000,95,86,Mystery & Thriller,Dan Gilroy,117
The Departed,https://www.rottentomatoes.com/m/departed,2006,R,250000,91,94,Crime,Martin Scorsese,152
Juno,https://www.rottentomatoes.com/m/juno,2007,PG-13,250000,93,88,Comedy,Jason Reitman,96
Hero,https://www.rottentomatoes.com/m/hero,2004,PG-13,100000,94,87,Action,Yimou Zhang,93
Shaun of the Dead,https://www.rottentomatoes.com/m/shaun_of_the_dead,2004,R,250000,92,93,Comedy,Edgar Wright,97
Stagecoach,https://www.rottentomatoes.com/m/1019774-stagecoach,1939,Not Rated,10000,100,86,Western,John Ford,96
Back to the Future,https://www.rottentomatoes.com/m/back_to_the_future,1985,PG,250000,93,95,Comedy,Robert Zemeckis,116
Die Hard,https://www.rottentomatoes.com/m/die_hard,1988,R,250000,94,94,Action,John McTiernan,131
No Country for Old Men,https://www.rottentomatoes.com/m/no_country_for_old_men,2007,R,250000,93,86,Crime,Joel Coen,122
The Lion King,https://www.rottentomatoes.com/m/the_lion_king,1994,G,250000,93,93,Kids & Family,Roger Allers,87
Gravity,https://www.rottentomatoes.com/m/gravity_2013,2013,PG-13,250000,96,79,Drama,Alfonso Cuarón,91
The Leopard,https://www.rottentomatoes.com/m/the_leopard_1963,1963,PG,5000,98,89,History,Luchino Visconti,165
Day for Night,https://www.rottentomatoes.com/m/day_for_night,1973,PG,5000,98,91,Comedy,François Truffaut,120
Badlands,https://www.rottentomatoes.com/m/badlands,1973,PG,25000,97,90,Crime,Terrence Malick,95
Touch of Evil,https://www.rottentomatoes.com/m/touch_of_evil,1958,Not Rated,25000,97,92,Crime,Orson Welles,95
Yojimbo,https://www.rottentomatoes.com/m/yojimbo,1961,Not Rated,25000,96,96,Adventure,Akira Kurosawa,110
A Streetcar Named Desire,https://www.rottentomatoes.com/m/1020333-streetcar_named_desire,1951,PG,50000,97,89,Drama,Elia Kazan,122
Breathless,https://www.rottentomatoes.com/m/breathless,1961,Not Rated,25000,95,90,Crime,Jean-Luc Godard,90
The Manchurian Candidate,https://www.rottentomatoes.com/m/1013227-manchurian_candidate,1962,PG-13,25000,97,90,Mystery & Thriller,John Frankenheimer,126
The French Connection,https://www.rottentomatoes.com/m/french_connection,1971,R,25000,97,87,Crime,William Friedkin,104
The Bourne Ultimatum,https://www.rottentomatoes.com/m/bourne_ultimatum,2007,PG-13,250000,92,91,Action,Paul Greengrass,115
My Fair Lady,https://www.rottentomatoes.com/m/my_fair_lady,1964,G,100000,94,90,Musical,George Cukor,170
It's a Wonderful Life,https://www.rottentomatoes.com/m/its_a_wonderful_life,1946,PG,100000,94,95,Holiday,Frank Capra,129
Some Like It Hot,https://www.rottentomatoes.com/m/some_like_it_hot,1959,Not Rated,50000,95,94,Comedy,Billy Wilder,120
The Fugitive,https://www.rottentomatoes.com/m/1046129-fugitive,1993,PG-13,250000,96,89,Action,Andrew Davis,127
Guardians of the Galaxy,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,2014,PG-13,250000,92,92,Sci-Fi,James Gunn,121
Airplane!,https://www.rottentomatoes.com/m/airplane,1980,PG,250000,97,89,Comedy,Jim Abrahams,88
Groundhog Day,https://www.rottentomatoes.com/m/groundhog_day,1993,PG,250000,94,88,Romance,Harold Ramis,96
This Is Spinal Tap,https://www.rottentomatoes.com/m/this_is_spinal_tap,1984,R,100000,96,92,Comedy,Rob Reiner,82
Beauty and the Beast,https://www.rottentomatoes.com/m/beauty_and_the_beast_1991,1991,G,250000,95,93,Kids & Family,Gary Trousdale,84
The Taking of Pelham One Two Three,https://www.rottentomatoes.com/m/the_taking_of_pelham_one_two_three,1974,R,5000,98,88,Mystery & Thriller,Joseph Sargent,104
City Lights,https://www.rottentomatoes.com/m/city_lights,1931,G,25000,95,95,Comedy,Charlie Chaplin,87
Kiki's Delivery Service,https://www.rottentomatoes.com/m/kikis_delivery_service,1998,G,10000,98,89,Kids & Family,Hayao Miyazaki,103
City of God,https://www.rottentomatoes.com/m/city_of_god,2003,R,250000,91,97,Crime,Fernando Meirelles,131
Rosemary's Baby,https://www.rottentomatoes.com/m/rosemarys_baby,1968,R,50000,97,87,Horror,Roman Polanski,137
Call Me by Your Name,https://www.rottentomatoes.com/m/call_me_by_your_name,2018,R,10000,95,86,Romance,Luca Guadagnino,132
Aladdin,https://www.rottentomatoes.com/m/aladdin_1992,1992,G,250000,96,92,Kids & Family,Ron Clements,90
The Man With a Movie Camera,https://www.rottentomatoes.com/m/man_with_a_movie_camera,1929,Not Rated,5000,98,88,Documentary,Dziga Vertov,69
The Lady Vanishes,https://www.rottentomatoes.com/m/1011813-lady_vanishes,1938,Not Rated,10000,98,88,Mystery & Thriller,Alfred Hitchcock,97
The Umbrellas of Cherbourg,https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964,1964,Not Rated,5000,97,87,Musical,Jacques Demy,92
Mission: Impossible Rogue Nation,https://www.rottentomatoes.com/m/mission_impossible_rogue_nation,2015,PG-13,50000,94,87,Action,Christopher McQuarrie,131
Three Colors: Blue,https://www.rottentomatoes.com/m/three_colors_blue,1993,R,25000,97,93,Drama,Krzysztof Kieslowski,97
Milk,https://www.rottentomatoes.com/m/milk,2008,R,100000,93,89,Biography,Gus Van Sant,128
Traffic,https://www.rottentomatoes.com/m/1103281-traffic,2001,R,100000,93,85,Crime,Steven Soderbergh,147
Invasion of the Body Snatchers,https://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers,1956,Not Rated,10000,97,85,Sci-Fi,Don Siegel,80
Thor: Ragnarok,https://www.rottentomatoes.com/m/thor_ragnarok_2017,2017,PG-13,50000,93,87,Action,Taika Waititi,130
The Odd Couple,https://www.rottentomatoes.com/m/1015380-odd_couple,1968,G,25000,97,89,Comedy,Gene Saks,105
Bride of Frankenstein,https://www.rottentomatoes.com/m/bride_of_frankenstein,1935,Not Rated,25000,98,87,Horror,James Whale,75
What's Love Got to Do With It,https://www.rottentomatoes.com/m/whats_love_got_to_do_with_it,1993,R,50000,97,88,Biography,Brian Gibson,118
Star Wars: The Force Awakens,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens,2015,PG-13,100000,93,84,Sci-Fi,J.J. Abrams,136
Roman Holiday,https://www.rottentomatoes.com/m/roman_holiday,1953,Not Rated,50000,96,93,Romance,William Wyler,119
Amélie,https://www.rottentomatoes.com/m/amelie,2001,R,250000,90,95,Romance,Jean-Pierre Jeunet,121
To Be or Not to Be,https://www.rottentomatoes.com/m/to_be_or_not_to_be,1942,Not Rated,5000,96,93,Comedy,Ernst Lubitsch,99
All the President's Men,https://www.rottentomatoes.com/m/all_the_presidents_men,1976,PG,50000,94,92,Drama,Alan J. Pakula,138
Throne of Blood,https://www.rottentomatoes.com/m/throne_of_blood,1957,Not Rated,10000,96,93,Drama,Akira Kurosawa,108
Taxi Driver,https://www.rottentomatoes.com/m/taxi_driver,1976,R,250000,89,93,Drama,Martin Scorsese,113
The Big Sleep,https://www.rottentomatoes.com/m/1002352-big_sleep,1946,Not Rated,25000,96,91,Mystery & Thriller,Howard Hawks,114
Marvel's the Avengers,https://www.rottentomatoes.com/m/marvels_the_avengers,2012,PG-13,250000,91,91,Action,Joss Whedon,143
Secrets & Lies,https://www.rottentomatoes.com/m/secrets_and_lies,1996,R,10000,96,91,Drama,Mike Leigh,142
Dog Day Afternoon,https://www.rottentomatoes.com/m/dog_day_afternoon,1975,R,100000,96,90,Crime,Sidney Lumet,130
Being There,https://www.rottentomatoes.com/m/being_there,1979,PG,25000,95,92,Comedy,Hal Ashby,130
Aguirre: The Wrath of God,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god,1972,Not Rated,10000,96,91,Adventure,Werner Herzog,94
Arrival,https://www.rottentomatoes.com/m/arrival_2016,2016,PG-13,50000,94,82,Sci-Fi,Denis Villeneuve,116
Wings of Desire,https://www.rottentomatoes.com/m/wings_of_desire,1987,PG-13,25000,95,93,Fantasy,Wim Wenders,128
Raging Bull,https://www.rottentomatoes.com/m/raging_bull,1980,R,100000,92,93,Biography,Martin Scorsese,128
Fruitvale Station,https://www.rottentomatoes.com/m/fruitvale_station,2013,R,25000,94,87,Drama,Ryan Coogler,85
La Dolce Vita,https://www.rottentomatoes.com/m/la_dolce_vita,1960,Not Rated,25000,95,90,Drama,Federico Fellini,175
Beauty and the Beast,https://www.rottentomatoes.com/m/beauty_and_the_beast,1947,Not Rated,10000,96,90,Fantasy,Jean Cocteau,95
The Killing,https://www.rottentomatoes.com/m/killing,1956,Not Rated,10000,96,92,Crime,Stanley Kubrick,83
The Rules of the Game,https://www.rottentomatoes.com/m/the_rules_of_the_game,1939,Not Rated,10000,97,89,Comedy,Jean Renoir,110
Eyes Without a Face,https://www.rottentomatoes.com/m/eyes_without_a_face_1962,1962,Not Rated,5000,97,87,Horror,Georges Franju,90
The Cabinet of Dr. Caligari,https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari,1921,Not Rated,25000,96,89,Horror,Robert Wiene,69
